date,time,healthy,alcohol,meat,vegetables,fruits,fastfood,fullmeal,form
2015-12-07,08:30,RY,N,Y,N,N,N,Y,MR
2015-12-07,08:48,RN,N,N,N,N,N,N,MR
2015-12-07,11:32,RY,N,N,N,Y,N,M,MR
2015-12-07,13:23,RY,N,Y,Y,N,N,Y,MR
2015-12-07,19:20,RN,Y,N,N,N,N,N,MP
2015-12-07,22:44,RN,N,Y,Y,N,Y,N,MP
2015-12-08,05:49,RN,N,Y,Y,N,Y,N,MP
2015-12-08,09:09,RY,N,N,N,Y,N,N,MR
2015-12-08,10:29,RN,N,Y,Y,N,Y,N,MP
2015-12-08,13:56,RY,N,Y,N,N,N,N,MP
2015-12-08,15:47,RN,N,Y,N,N,N,Y,MP
2015-12-08,19:25,RN,Y,N,N,N,N,N,MP
2015-12-08,20:46,RY,N,Y,Y,N,N,Y,MR
2015-12-09,08:11,RN,N,Y,N,N,Y,N,MP
2015-12-09,12:51,RY,N,Y,Y,N,N,Y,MR
2015-12-09,18:28,RN,Y,N,N,N,N,N,MP
2015-12-09,18:45,RN,N,N,N,N,Y,N,MP
2015-12-10,05:29,RN,N,N,N,N,Y,N,MP
2015-12-10,12:05,RY,N,Y,Y,N,N,Y,MR
2015-12-10,16:56,RN,N,N,N,N,Y,N,MP
2015-12-10,20:00,RN,Y,N,N,N,N,N,MP
2015-12-10,21:00,RY,N,N,Y,N,N,N,MR
2015-12-11,07:59,RY,N,N,N,N,N,N,MR
2015-12-11,15:44,RN,N,Y,N,N,N,N,MR
2015-12-11,16:54,RY,N,N,N,Y,N,N,MR
2015-12-11,18:26,RN,N,N,N,N,Y,N,MP
2015-12-12,09:38,RN,N,N,N,N,N,N,MP
2015-12-12,11:56,RY,N,Y,Y,N,N,Y,MR
2015-12-12,16:46,RY,N,Y,Y,N,N,Y,MR
2015-12-12,22:23,RY,N,N,Y,N,N,N,MR
2015-12-13,14:10,RY,N,Y,N,N,N,Y,MR
2015-12-13,21:05,RY,N,Y,Y,N,N,Y,MR
2015-12-14,07:50,RY,N,Y,Y,N,N,Y,MR
2015-12-14,10:59,RY,N,N,N,Y,N,N,MR
2015-12-14,15:01,RY,N,N,N,N,Y,N,MP
2015-12-14,16:27,RY,N,Y,Y,N,N,Y,MR
2015-12-14,19:04,RN,Y,N,N,N,N,N,MP
2015-12-15,08:50,RY,N,N,N,N,N,N,MP
2015-12-15,12:52,RN,N,Y,N,N,Y,N,MP
2015-12-15,18:32,RY,N,N,N,Y,N,N,MR
2015-12-15,18:58,RN,N,N,N,N,Y,Y,MP
2015-12-15,20:07,RN,Y,N,N,N,N,N,MP
2015-12-15,20:38,RN,Y,N,N,N,N,N,MP
2015-12-16,08:27,RN,N,N,N,N,Y,N,MR
2015-12-16,12:22,RY,N,Y,Y,N,N,Y,MR
2015-12-16,17:32,RN,N,Y,N,N,N,N,MR
2015-12-16,20:08,RY,N,N,Y,N,N,N,MR
2015-12-17,05:35,RY,N,N,N,Y,N,N,MR
2015-12-17,10:04,RY,N,N,Y,N,N,N,MR
2015-12-17,13:35,RN,N,N,Y,N,N,Y,MR
2015-12-17,18:19,RY,N,N,N,N,N,N,MP
2015-12-17,21:01,RN,Y,N,N,N,N,N,MP
2015-12-17,21:07,RN,N,Y,Y,N,N,Y,MR
2015-12-18,08:36,RN,N,Y,N,N,N,N,MR
2015-12-18,13:40,RN,N,Y,N,N,N,N,MR
2015-12-18,17:43,RY,N,N,Y,N,N,Y,MR
2015-12-18,18:44,RN,N,N,N,N,Y,N,MP
2015-12-18,20:26,RY,N,N,N,N,N,N,MP
2015-12-19,01:00,RN,N,N,N,N,N,N,MP
2015-12-19,12:18,RY,N,Y,N,N,N,Y,MR
2015-12-19,18:29,RN,N,Y,N,N,Y,N,MP
2015-12-19,19:46,RN,Y,N,N,N,N,N,MP
2015-12-19,20:20,RN,N,N,N,N,Y,Y,MR
2015-12-20,11:27,RN,N,N,N,N,Y,Y,MR
2015-12-20,14:24,RY,N,Y,Y,N,N,Y,MR
2015-12-20,18:57,RY,N,N,Y,N,N,N,MR
2015-12-20,18:58,RY,N,N,N,N,Y,N,MP
2015-12-20,21:45,RY,N,N,Y,N,N,Y,MR
2015-12-21,09:16,RY,N,N,N,N,N,N,MP
2015-12-21,11:12,RY,N,N,Y,N,N,N,MR
2015-12-21,11:57,RY,N,N,Y,N,N,N,MR
2015-12-21,14:46,RN,N,N,N,N,Y,N,MP
2015-12-21,18:42,RY,N,N,Y,N,N,N,MR
2015-12-21,20:06,RY,N,Y,Y,N,N,Y,MR
2015-12-22,05:47,RY,N,N,N,N,N,N,MR
2015-12-22,09:33,RY,N,N,N,Y,N,N,MR
2015-12-22,11:39,RY,N,Y,Y,N,N,Y,MR
2015-12-22,15:58,RN,N,N,N,N,N,Y,MR
2015-12-22,22:00,RY,N,Y,Y,N,N,Y,MR
2015-12-23,08:27,RN,N,Y,N,N,Y,N,MP
2015-12-23,14:27,RN,N,N,N,N,Y,N,MP
2015-12-23,17:08,RY,N,N,N,N,N,N,MR
2015-12-23,17:16,RY,N,Y,Y,N,N,Y,MR
2015-12-23,20:46,RN,Y,N,N,N,N,N,MP
2015-12-24,09:13,RY,N,N,Y,N,N,N,MR
2015-12-24,09:50,RN,N,N,N,N,N,N,MR
2015-12-24,13:37,RY,N,N,Y,N,N,Y,MR
2015-12-24,13:44,RY,N,N,Y,N,N,N,MR
2015-12-24,18:25,RY,N,Y,Y,N,N,Y,MR
2015-12-25,09:04,RY,N,N,Y,N,N,N,MR
2015-12-25,10:04,RN,N,N,N,N,N,N,MP
2015-12-25,13:37,RY,N,Y,Y,N,N,Y,MR
2015-12-25,18:14,RY,Y,N,N,N,N,N,MP
2015-12-26,09:00,RY,N,Y,Y,N,N,Y,MR
2015-12-26,11:28,RY,N,N,N,N,N,Y,MR
2015-12-26,11:39,RY,N,Y,N,N,N,Y,MR
2015-12-26,16:03,RY,N,Y,N,N,N,Y,MR
2015-12-26,21:06,RY,Y,N,N,N,N,N,MP
2015-12-26,21:06,RY,N,N,Y,N,N,Y,MR
2015-12-27,10:03,RN,N,Y,N,N,N,N,MP
2015-12-27,14:15,RY,N,Y,N,N,N,N,MR
2015-12-27,14:15,RY,N,N,Y,N,N,N,MR
2015-12-27,16:55,RY,N,Y,Y,N,N,Y,MR
2015-12-27,22:06,RN,Y,N,N,N,N,N,MP
2015-12-27,22:16,RN,N,N,N,N,N,N,MP
2015-12-28,08:17,RN,N,Y,N,N,N,N,MR
2015-12-28,11:24,RY,N,N,N,Y,N,N,MR
2015-12-28,17:40,RY,N,N,Y,N,N,Y,MR
2015-12-29,05:36,RY,N,N,Y,N,N,Y,MR
2015-12-29,09:31,RN,N,N,N,N,N,N,MP
2015-12-29,12:08,RY,N,Y,Y,N,N,Y,MR
2015-12-30,08:15,RY,N,Y,N,Y,N,Y,MR
2015-12-30,12:11,RY,N,Y,Y,N,N,Y,MR
2015-12-30,17:59,RN,Y,N,N,N,N,N,MP
2015-12-30,19:13,RY,N,Y,N,N,N,Y,MR
2015-12-30,21:41,RY,N,N,N,Y,N,N,MR
2015-12-31,05:30,RY,N,N,N,Y,N,N,MR
2015-12-31,05:50,RY,N,Y,N,N,N,Y,MR
2015-12-31,11:13,RN,N,Y,N,N,Y,N,MP
2015-12-31,15:35,RY,N,Y,Y,N,N,Y,MR
2015-12-31,18:13,RY,N,Y,Y,N,N,N,MR
2016-01-01,13:50,RN,N,Y,N,N,N,N,MP
2016-01-01,16:25,RN,N,N,N,N,Y,N,MP
2016-01-02,08:23,RN,N,N,N,N,Y,N,MP
2016-01-02,12:29,RN,N,N,N,N,N,N,MP
2016-01-02,19:30,RN,N,N,N,N,Y,N,MP
2016-01-03,10:45,RY,N,N,N,N,N,Y,MR
2016-01-03,12:41,RN,N,N,N,N,N,N,MR
2016-01-03,13:44,RY,N,Y,N,N,N,N,MR
2016-01-03,16:59,RN,N,N,N,N,N,N,MP
2016-01-03,17:53,RN,Y,N,N,N,N,N,MP
2016-01-03,19:15,RN,N,Y,N,N,Y,N,MP
2016-01-04,06:44,RY,N,Y,N,N,N,N,MR
2016-01-04,08:08,RY,N,Y,Y,N,N,N,MR
2016-01-04,11:33,RY,N,N,N,Y,N,N,MR
2016-01-04,17:30,RY,N,Y,Y,N,N,Y,MR
2016-01-04,20:24,RY,N,N,Y,N,Y,Y,MR
2016-01-05,05:39,RY,N,Y,N,N,N,Y,MR
2016-01-05,08:40,RN,N,N,N,N,Y,Y,MP
2016-01-05,11:30,RY,N,Y,Y,N,N,Y,MR
2016-01-05,16:52,RY,N,Y,Y,N,N,Y,MR
2016-01-05,21:21,RY,N,N,Y,N,N,Y,MR
2016-01-06,09:16,RN,N,N,N,N,Y,Y,MP
2016-01-06,10:44,RY,N,N,Y,N,N,Y,MR
2016-01-06,13:58,RY,N,N,N,Y,N,N,MR
2016-01-06,14:40,RN,N,N,N,N,Y,Y,MP
2016-01-06,17:11,RY,N,Y,Y,N,N,Y,MR
2016-01-06,18:40,RN,Y,N,N,N,N,N,MP
2016-01-07,05:31,RY,N,Y,Y,N,N,Y,MR
2016-01-07,08:37,RN,N,N,N,N,Y,Y,MP
2016-01-07,11:48,RY,N,Y,Y,N,N,Y,MR
2016-01-07,15:44,RY,N,Y,N,N,N,N,MR
2016-01-07,17:59,RN,N,N,N,N,Y,Y,MP
2016-01-07,21:20,RY,N,N,Y,N,N,Y,MR
2016-01-08,05:31,RN,N,N,N,N,Y,Y,MP
2016-01-08,07:40,RY,N,Y,Y,N,N,N,MR
2016-01-08,10:28,RY,N,N,Y,N,N,Y,MR
2016-01-08,15:56,RY,N,N,Y,N,N,Y,MR
2016-01-08,16:21,RY,N,Y,Y,N,N,Y,MR
2016-01-08,19:49,RN,N,N,N,N,Y,Y,MP
2016-01-08,22:07,RY,N,N,B,Y,N,N,MR
2016-01-09,07:39,RN,N,N,N,N,Y,N,MP
2016-01-09,08:28,RY,N,Y,Y,Y,N,Y,MR
2016-01-09,10:11,RY,N,Y,Y,N,N,Y,MR
2016-01-09,13:18,RN,N,N,N,N,Y,Y,MP
2016-01-09,18:09,RY,N,N,N,N,N,Y,MR
2016-01-10,09:49,RN,N,N,N,N,N,N,MR
2016-01-10,11:55,RN,N,N,N,N,Y,Y,MP
2016-01-10,15:19,RN,N,N,N,N,N,N,MR
2016-01-10,16:45,RY,N,Y,Y,N,N,Y,MR
2016-01-11,06:24,RY,N,Y,N,N,N,N,MR
2016-01-11,09:32,RN,N,N,N,N,N,N,MR
2016-01-11,11:44,RN,N,N,N,N,Y,Y,MP
2016-01-11,15:53,RN,N,N,N,N,N,N,MR
2016-01-11,16:37,RY,N,Y,Y,N,N,Y,MR
2016-01-11,19:40,RY,N,N,Y,N,N,Y,MR
2016-01-11,20:23,RY,N,N,N,N,N,N,MR
2016-01-12,05:58,RY,N,N,Y,N,N,Y,MR
2016-01-12,08:31,RN,N,N,N,N,Y,Y,MP
2016-01-12,10:10,RN,N,N,Y,N,N,N,MR
2016-01-12,13:32,RY,N,N,Y,N,N,Y,MR
2016-01-12,17:35,RY,N,N,Y,N,N,Y,MR
2016-01-12,19:01,RN,N,N,N,N,Y,Y,MP
2016-01-13,06:23,RY,N,N,Y,N,N,Y,MR
2016-01-13,08:07,RN,N,N,N,N,Y,Y,MP
2016-01-13,12:00,RN,N,N,N,N,N,Y,MP
2016-01-13,18:16,RN,N,N,N,N,Y,Y,MP
2016-01-13,20:13,RY,N,N,Y,N,N,Y,MR
2016-01-14,08:12,RY,N,N,N,N,N,Y,MR
2016-01-14,10:01,RN,N,N,N,N,Y,Y,MP
2016-01-14,13:20,RN,N,Y,N,N,Y,Y,MP
2016-01-14,17:56,RY,N,Y,Y,N,N,Y,MR
2016-01-14,19:57,RY,N,Y,Y,N,Y,N,MP
2016-01-15,05:20,RY,N,Y,Y,N,N,Y,MR
2016-01-15,08:05,RN,N,N,N,N,Y,Y,MP
2016-01-15,11:39,RY,N,Y,Y,N,N,Y,MR
2016-01-15,17:48,RY,N,N,Y,N,N,Y,MR
2016-01-15,23:42,RN,N,Y,Y,N,Y,Y,MP
2016-01-16,12:19,RN,N,N,N,N,Y,Y,MP
2016-01-16,14:00,RN,Y,N,N,N,Y,N,MP
2016-01-16,16:39,RY,N,Y,Y,N,N,Y,MR
2016-01-16,19:19,RY,N,Y,Y,N,N,Y,MR
2016-01-17,11:22,RY,N,Y,N,N,N,Y,MR
2016-01-17,14:01,RN,N,N,N,N,Y,Y,MP
2016-01-17,17:25,RN,N,Y,Y,N,Y,Y,MR
2016-01-17,17:33,RN,Y,N,N,N,Y,N,MP
2016-01-17,19:00,RN,N,Y,Y,N,Y,Y,MR
2016-01-17,20:13,RN,N,N,N,N,Y,Y,MP
2016-01-18,06:54,RN,N,Y,Y,N,Y,Y,MR
2016-01-18,06:58,RY,N,N,N,Y,N,N,MR
2016-01-18,09:34,RY,N,N,N,Y,N,N,MR
2016-01-18,11:42,RY,N,Y,Y,N,N,Y,MR
2016-01-18,16:55,RY,N,N,Y,N,N,Y,MR
2016-01-18,17:41,RN,N,N,N,N,Y,Y,MP
2016-01-18,22:09,RN,N,Y,Y,N,Y,Y,MR
2016-01-19,05:30,RN,N,Y,Y,N,Y,Y,MR
2016-01-19,08:30,RN,N,N,N,N,Y,Y,MP
2016-01-19,10:55,RY,N,Y,N,N,N,Y,MR
2016-01-19,11:27,RN,N,Y,Y,N,Y,Y,MR
2016-01-19,16:39,RN,N,Y,Y,N,Y,Y,MR
2016-01-19,17:31,RY,N,Y,N,N,N,Y,MR
2016-01-19,19:30,RN,N,N,N,N,Y,Y,MP
2016-01-20,06:46,RY,N,Y,N,N,N,Y,MR
2016-01-20,08:12,RN,N,N,N,N,Y,Y,MP
2016-01-20,13:04,RY,N,Y,N,N,N,Y,MR
2016-01-20,17:21,RN,Y,N,N,N,Y,N,MP
2016-01-20,17:46,RY,N,N,N,N,N,Y,MR
2016-01-20,19:14,RN,N,N,N,N,Y,Y,MP
2016-01-21,06:04,RY,N,Y,Y,N,N,Y,MR
2016-01-21,11:07,RY,N,Y,N,N,N,Y,MR
2016-01-21,17:25,RY,N,Y,Y,N,N,Y,MR
2016-01-21,21:00,RN,N,N,N,N,Y,Y,MP
2016-01-22,07:55,RY,N,Y,Y,N,N,Y,MR
2016-01-22,08:08,RN,N,N,N,N,Y,Y,MP
2016-01-22,11:56,RN,N,Y,N,N,Y,N,MP
2016-01-22,17:20,RN,Y,N,N,N,Y,N,MP
2016-01-22,17:20,RN,N,Y,Y,N,Y,Y,MR
2016-01-22,20:11,RN,N,N,N,N,Y,Y,MP
2016-01-23,07:58,RY,N,Y,N,N,N,Y,MR
2016-01-23,12:15,RN,N,N,N,N,N,N,MP
2016-01-23,14:08,RN,N,N,N,N,Y,Y,MP
2016-01-23,18:00,RY,N,Y,Y,N,Y,Y,MR
2016-01-23,18:10,RN,N,N,N,N,Y,N,MP
2016-01-24,09:00,RY,N,N,Y,N,N,Y,MR
2016-01-24,10:54,RN,N,N,N,N,Y,Y,MP
2016-01-24,13:29,RY,N,N,N,Y,N,N,MR
2016-01-24,14:09,RN,N,Y,N,N,Y,N,MP
2016-01-24,15:20,RY,N,Y,Y,N,N,Y,MR
2016-01-24,21:38,RN,N,N,N,N,Y,Y,MP
2016-01-25,07:51,RY,N,Y,N,N,N,Y,MR
2016-01-25,08:07,RN,N,N,N,N,Y,Y,MP
2016-01-25,12:19,RY,N,N,N,Y,N,N,MR
2016-01-25,14:22,RN,N,Y,N,N,Y,Y,MP
2016-01-25,20:28,RY,N,N,Y,N,N,Y,MR
2016-01-25,22:14,RN,N,N,N,N,Y,Y,MP
2016-01-26,06:04,RN,N,N,N,N,N,N,MR
2016-01-26,08:36,RN,N,N,N,N,Y,Y,MP
2016-01-26,11:13,RY,N,Y,Y,N,N,Y,MR
2016-01-26,15:20,RN,N,Y,N,N,Y,N,MP
2016-01-26,16:42,RN,N,N,N,N,Y,Y,MP
2016-01-26,20:21,RY,N,Y,N,N,N,Y,MR
2016-01-27,06:30,RY,N,Y,N,N,N,Y,MR
2016-01-27,07:41,RN,N,N,N,N,Y,Y,MP
2016-01-27,11:51,RN,N,Y,N,N,N,Y,MP
2016-01-27,19:16,RN,Y,N,N,N,Y,N,MP
2016-01-27,19:53,RN,N,Y,Y,B,Y,Y,MP